"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Dukovany","11,3 °C","-0,2 °C","45%","9,6 °C","17,9 °C","6,1 °C","1,6 °C","22/10/2021 12:00:00"
"Kocelovice","7,3 °C","-0,9 °C","56%","11,1 °C","15,3 °C","3,0 °C","0,6 °C","22/10/2021 12:00:00"
"Ostrava-Mošnov","10,6 °C","2,1 °C","56%","12,8 °C","16,3 °C","7,1 °C","4,1 °C","22/10/2021 12:00:00"
"Praha-Libuš","9,8 °C","-1,1 °C","47%","12,3 °C","17,9 °C","4,8 °C","1,1 °C","22/10/2021 12:00:00"
"Košetice","9,1 °C","-1,3 °C","48%","11,1 °C","16,8 °C","4,2 °C","1,4 °C","22/10/2021 12:00:00"
"České Budějovice","11,0 °C","-0,6 °C","45%","10,8 °C","17,5 °C","6,5 °C","1,8 °C","22/10/2021 12:00:00"
"Liberec","8,0 °C","1,3 °C","63%","9,9 °C","14,6 °C","2,7 °C","-1,4 °C","22/10/2021 12:00:00"
"Přimda","4,6 °C","0,3 °C","73%","7,9 °C","10,8 °C","1,5 °C","-0,2 °C","22/10/2021 12:00:00"
"Pec pod Sněžkou","3,0 °C","-0,1 °C","80%","6,9 °C","10,8 °C","1,2 °C","0,2 °C","22/10/2021 12:00:00"
"Ústí nad Orlicí","9,5 °C","-0,5 °C","50%","10,8 °C","16,5 °C","4,2 °C","0,6 °C","22/10/2021 12:00:00"
"Churáňov","3,6 °C","-2,2 °C","66%","7,0 °C","9,7 °C","-0,2 °C","-0,9 °C","22/10/2021 12:00:00"
"Červená u Libavé","8,2 °C","-2,2 °C","48%","8,0 °C","11,7 °C","2,2 °C","0,6 °C","22/10/2021 12:00:00"
"Temelín","9,8 °C","-0,7 °C","48%","10,2 °C","16,3 °C","4,5 °C","2,0 °C","22/10/2021 12:00:00"
"Ústí nad Labem","9,2 °C","-0,1 °C","52%","10,1 °C","14,9 °C","4,1 °C","2,3 °C","22/10/2021 12:00:00"
"Praha-Ruzyně","9,9 °C","0,1 °C","50%","11,9 °C","15,8 °C","4,0 °C","2,4 °C","22/10/2021 12:00:00"
"Svratouch","7,1 °C","-2,2 °C","51%","8,5 °C","14,6 °C","2,9 °C","1,8 °C","22/10/2021 12:00:00"
"Náměšť nad Oslavou","10,0 °C","0,1 °C","50%","9,0 °C","17,0 °C","5,0 °C","0,9 °C","22/10/2021 12:00:00"
"Plzeň-Mikulka","9,6 °C","-1,2 °C","47%","11,7 °C","16,5 °C","3,6 °C","-0,1 °C","22/10/2021 12:00:00"
"Lysá hora","3,9 °C","-2,8 °C","62%","3,9 °C","7,1 °C","3,9 °C","0,2 °C","22/10/2021 12:00:00"
"Luká","10,1 °C","-3,8 °C","38%","10,6 °C","15,7 °C","3,7 °C","0,3 °C","22/10/2021 12:00:00"
"Cheb","7,7 °C","-1,3 °C","53%","9,0 °C","13,2 °C","2,0 °C","-0,1 °C","22/10/2021 12:00:00"
"Holešov","12,0 °C","0,4 °C","45%","10,1 °C","15,4 °C","5,3 °C","1,6 °C","22/10/2021 12:00:00"
"Karlovy Vary","6,2 °C","-1,2 °C","59%","7,8 °C","12,6 °C","2,0 °C","-0,3 °C","22/10/2021 12:00:00"
"Polom","5,2 °C","0,2 °C","70%","8,2 °C","11,8 °C","0,4 °C","-2,2 °C","22/10/2021 12:00:00"
"Doksany","10,8 °C","-0,2 °C","47%","12,7 °C","17,0 °C","4,5 °C","-1,3 °C","22/10/2021 12:00:00"
"Šerák","0,0 °C","-4,1 °C","74%","3,1 °C","5,9 °C","-3,5 °C","-3,9 °C","22/10/2021 12:00:00"
"Pardubice","11,7 °C","-0,2 °C","44%","12,7 °C","18,8 °C","3,1 °C","-1,1 °C","22/10/2021 12:00:00"
"Jičín","10,0 °C","0,5 °C","52%","11,2 °C","16,7 °C","3,9 °C","0,9 °C","22/10/2021 12:00:00"
"Přibyslav","9,0 °C","-2,0 °C","46%","9,8 °C","15,9 °C","4,4 °C","2,5 °C","22/10/2021 12:00:00"
"Čáslav","11,2 °C","-0,1 °C","46%","12,2 °C","18,9 °C","4,1 °C","-2,7 °C","22/10/2021 12:00:00"
"Praha-Karlov","9,7 °C","-1,6 °C","45%"," "," "," "," ","22/10/2021 12:00:00"
"Maruška","7,7 °C","0,0 °C","58%","9,5 °C","12,1 °C","5,0 °C","4,6 °C","22/10/2021 12:00:00"
"Tušimice","9,4 °C","-0,2 °C","51%","11,0 °C","15,6 °C","3,1 °C","-1,2 °C","22/10/2021 12:00:00"
"Praha-Kbely","10,2 °C","-0,3 °C","48%","12,6 °C","17,6 °C","4,6 °C","0,4 °C","22/10/2021 12:00:00"
"Kopisty"," "," "," "," ","16,0 °C","12,9 °C"," ","22/10/2021 12:00:00"
"Kuchařovice","12,2 °C","2,6 °C","52%","11,1 °C","18,6 °C","5,4 °C","1,9 °C","22/10/2021 12:00:00"
"Prostějov","12,2 °C","-0,9 °C","40%","10,3 °C","17,6 °C","6,0 °C","2,3 °C","22/10/2021 12:00:00"
"Brno-Tuřany","12,5 °C","2,6 °C","51%","11,3 °C","17,7 °C","4,8 °C","0,3 °C","22/10/2021 12:00:00"
"Milešovka","5,5 °C","0,1 °C","68%","6,4 °C","10,3 °C","0,5 °C","-0,9 °C","22/10/2021 12:00:00"
"Kostelní Myslová","10,0 °C","-0,5 °C","47%","9,5 °C","16,5 °C","4,6 °C","1,8 °C","22/10/2021 12:00:00"
"Pardubice","7,3 °C","5,2 °C","87%","4,2 °C","11,2 °C","-0,8 °C","0,9 °C","19/10/2021 07:00:00"
"Cheb","6,6 °C","4,9 °C","89%","5,5 °C","8,4 °C","0,9 °C","-1,7 °C","19/10/2021 07:00:00"
"Tušimice","4,3 °C","3,4 °C","94%","6,7 °C","11,9 °C","3,3 °C","-0,4 °C","19/10/2021 07:00:00"
"Svratouch","6,7 °C","3,6 °C","81%","4,4 °C","8,6 °C","2,4 °C","0,4 °C","19/10/2021 07:00:00"
"Pec pod Sněžkou","6,4 °C","2,9 °C","78%","3,2 °C","6,4 °C","1,3 °C","2,0 °C","19/10/2021 07:00:00"
"Maruška","7,1 °C","4,4 °C","83%","6,8 °C","10,3 °C","4,8 °C","2,6 °C","19/10/2021 07:00:00"
"Prostějov","4,9 °C","4,0 °C","94%","8,0 °C","13,6 °C","1,3 °C","-1,1 °C","19/10/2021 07:00:00"
"Ústí nad Orlicí","4,5 °C","3,8 °C","96%","4,0 °C","10,5 °C","-0,7 °C","-1,6 °C","19/10/2021 07:00:00"
"Doksany","5,6 °C","3,9 °C","89%","6,0 °C","11,8 °C","2,8 °C","1,0 °C","19/10/2021 07:00:00"
"Polom","6,7 °C","2,6 °C","75%","4,3 °C","6,8 °C","3,1 °C","0,4 °C","19/10/2021 07:00:00"
"Lysá hora","3,4 °C","2,5 °C","94%","1,4 °C","5,8 °C","-0,9 °C","-2,1 °C","19/10/2021 07:00:00"
"Praha-Libuš","6,9 °C","3,9 °C","81%","5,9 °C","10,8 °C","0,8 °C","1,1 °C","19/10/2021 07:00:00"
"Karlovy Vary","2,0 °C","1,1 °C","94%","4,5 °C","7,9 °C","-0,4 °C","-3,2 °C","19/10/2021 07:00:00"
"Kocelovice","3,4 °C","3,3 °C","99%","6,1 °C","10,4 °C","-1,2 °C","-0,7 °C","19/10/2021 07:00:00"
"Brno-Tuřany","5,7 °C","4,2 °C","90%","8,2 °C","12,9 °C","0,4 °C","1,7 °C","19/10/2021 07:00:00"
"Přimda","6,6 °C","5,6 °C","93%","5,7 °C","8,5 °C","4,2 °C","0,3 °C","19/10/2021 07:00:00"
"Jičín","7,2 °C","5,2 °C","87%","6,7 °C","9,7 °C","5,2 °C","5,8 °C","19/10/2021 07:00:00"
"Náměšť nad Oslavou","5,1 °C","4,1 °C","93%","6,9 °C","11,7 °C","0,5 °C","1,2 °C","19/10/2021 07:00:00"
"Praha-Kbely","7,3 °C","4,8 °C","84%","6,0 °C","11,0 °C","1,5 °C","0,9 °C","19/10/2021 07:00:00"
"Čáslav","8,1 °C","3,4 °C","72%","4,7 °C","11,3 °C","-0,9 °C","2,4 °C","19/10/2021 07:00:00"
"Šerák","2,6 °C","0,4 °C","85%","-0,6 °C","1,5 °C","-1,4 °C","-1,8 °C","19/10/2021 07:00:00"
"Dukovany","4,9 °C","3,2 °C","89%","6,9 °C","12,2 °C","-0,3 °C","0,3 °C","19/10/2021 07:00:00"
"Praha-Ruzyně","6,7 °C","4,7 °C","87%","5,3 °C","10,5 °C","1,1 °C","2,7 °C","19/10/2021 07:00:00"
"Milešovka","6,4 °C","3,7 °C","83%","5,4 °C","7,4 °C","4,5 °C","2,8 °C","19/10/2021 07:00:00"
"Holešov","7,5 °C","5,5 °C","87%","6,2 °C","12,5 °C","-0,8 °C","-0,1 °C","19/10/2021 07:00:00"
"Praha-Karlov","5,9 °C","3,8 °C","87%"," "," "," "," ","19/10/2021 07:00:00"
"Košetice","5,2 °C","2,9 °C","85%","4,8 °C","11,3 °C","0,0 °C","-1,4 °C","19/10/2021 07:00:00"
"Kuchařovice","4,5 °C","3,8 °C","95%","8,2 °C","13,4 °C","0,9 °C","2,2 °C","19/10/2021 07:00:00"
"Temelín","5,3 °C","4,0 °C","91%","7,1 °C","10,7 °C","0,9 °C","1,1 °C","19/10/2021 07:00:00"
"Přibyslav","5,9 °C","4,1 °C","88%","3,9 °C","9,8 °C","-2,8 °C","-0,8 °C","19/10/2021 07:00:00"
"Plzeň-Mikulka","4,6 °C","3,7 °C","94%","5,9 °C","10,0 °C","-0,8 °C","-2,8 °C","19/10/2021 07:00:00"
"Churáňov","7,2 °C","1,9 °C","69%","2,9 °C","6,9 °C","-0,8 °C","-1,3 °C","19/10/2021 07:00:00"
"České Budějovice","4,5 °C","2,7 °C","88%","7,0 °C","12,3 °C","-0,1 °C","4,4 °C","19/10/2021 07:00:00"
"Ústí nad Labem","6,5 °C","4,2 °C","86%","7,3 °C","11,2 °C","4,8 °C","3,4 °C","19/10/2021 07:00:00"
"Ostrava-Mošnov","7,6 °C","6,7 °C","94%","7,4 °C","12,6 °C","0,6 °C","0,5 °C","19/10/2021 07:00:00"
"Kopisty"," "," "," ","6,4 °C","14,3 °C","3,6 °C","-0,3 °C","19/10/2021 07:00:00"
"Červená u Libavé","5,5 °C","2,9 °C","83%","5,5 °C","8,6 °C","3,0 °C","-0,2 °C","19/10/2021 07:00:00"
"Luká","5,5 °C","4,5 °C","93%","7,1 °C","11,2 °C","3,7 °C","0,6 °C","19/10/2021 07:00:00"
"Kostelní Myslová","5,2 °C","2,6 °C","82%","6,1 °C","12,5 °C","0,4 °C","-0,5 °C","19/10/2021 07:00:00"
"Liberec","8,2 °C","4,1 °C","75%","7,0 °C","10,8 °C","5,6 °C","4,9 °C","19/10/2021 07:00:00"
"Pardubice","13,1 °C","-2,4 °C","34%","5,9 °C","14,8 °C","-1,7 °C","-4,5 °C","10/10/2021 14:00:00"
"Doksany","13,6 °C","-2,4 °C","33%","5,8 °C","16,3 °C","-2,8 °C","-8,6 °C","10/10/2021 14:00:00"
"Náměšť nad Oslavou","10,8 °C","1,2 °C","51%","6,2 °C","11,4 °C","1,2 °C","-3,3 °C","10/10/2021 14:00:00"
"Tušimice","13,5 °C","-1,7 °C","35%","5,8 °C","14,7 °C","-1,0 °C","-3,6 °C","10/10/2021 14:00:00"
"Prostějov","10,8 °C","0,8 °C","50%","7,2 °C","13,3 °C","-1,7 °C","-6,1 °C","10/10/2021 14:00:00"
"Luká","9,6 °C","0,5 °C","53%","5,6 °C","12,0 °C","1,3 °C","-2,7 °C","10/10/2021 14:00:00"
"Maruška","6,0 °C","1,8 °C","75%","3,9 °C","8,6 °C","-0,8 °C","-1,4 °C","10/10/2021 14:00:00"
"Jičín","15,1 °C","-1,8 °C","31%","8,8 °C","14,4 °C","1,4 °C","-1,0 °C","10/10/2021 14:00:00"
"Přimda","8,3 °C","-1,4 °C","51%","5,1 °C","9,2 °C","0,1 °C","-3,3 °C","10/10/2021 14:00:00"
"Kuchařovice","11,2 °C","0,6 °C","48%","7,0 °C","12,3 °C","-0,2 °C","-3,0 °C","10/10/2021 14:00:00"
"Praha-Ruzyně","11,5 °C","-0,6 °C","43%","6,6 °C","12,6 °C","-1,1 °C","-4,0 °C","10/10/2021 14:00:00"
"Šerák","2,2 °C","-1,6 °C","76%","-0,7 °C","2,5 °C","-1,9 °C","-2,2 °C","10/10/2021 14:00:00"
"Karlovy Vary","11,4 °C","-2,2 °C","39%","4,0 °C","11,0 °C","-3,3 °C","-7,6 °C","10/10/2021 14:00:00"
"Praha-Libuš","11,6 °C","-0,9 °C","42%","7,0 °C","13,2 °C","-1,3 °C","-6,6 °C","10/10/2021 14:00:00"
"Přibyslav","11,8 °C","0,9 °C","47%","5,4 °C","13,1 °C","-3,1 °C","-5,0 °C","10/10/2021 14:00:00"
"Ostrava-Mošnov","9,5 °C","1,7 °C","58%","6,3 °C","12,1 °C","-1,5 °C","-4,8 °C","10/10/2021 14:00:00"
"Kocelovice","10,6 °C","-1,1 °C","44%","5,8 °C","11,4 °C","-1,1 °C","-5,0 °C","10/10/2021 14:00:00"
"Ústí nad Labem","13,2 °C","-1,4 °C","36%","7,8 °C","15,3 °C","2,0 °C","-3,9 °C","10/10/2021 14:00:00"
"Červená u Libavé","6,1 °C","-0,6 °C","62%","3,2 °C","7,7 °C","-0,9 °C","-2,7 °C","10/10/2021 14:00:00"
"Cheb","12,2 °C","0,9 °C","46%","6,3 °C","13,7 °C","-2,0 °C","-7,2 °C","10/10/2021 14:00:00"
"Temelín","11,2 °C","0,9 °C","49%","5,9 °C","12,1 °C","-0,5 °C","-5,1 °C","10/10/2021 14:00:00"
"Ústí nad Orlicí","13,2 °C","0,0 °C","41%","6,0 °C","13,8 °C","-2,4 °C","-5,6 °C","10/10/2021 14:00:00"
"Praha-Kbely","11,7 °C","-0,6 °C","43%","6,6 °C","13,3 °C","-0,8 °C","-8,4 °C","10/10/2021 14:00:00"
"Čáslav","12,8 °C","1,5 °C","46%","6,4 °C","13,7 °C","-1,5 °C","-6,0 °C","10/10/2021 14:00:00"
