"forecast_dt","humidity","rain","snow","temp_day","temp_eve","temp_max","temp_min","temp_morn","temp_night","location","date_stamp","source"
"2021-11-21 10:00:00","81","","","6.68","7.26","7.94","4.05","4.44","6.96","Kopisty","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","77","","","0.9","-0.31","1.12","-0.94","-0.88","-0.28","Lysá hora","2021-11-16 19:00:00","openweather"
"2021-11-17 10:00:00","70","","","6.82","5.62","6.98","2.55","2.63","5.59","Ostrava-Mošnov","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","67","","","1.56","0.42","3.39","-1.69","0.43","-1.69","Karlovy Vary","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","88","","","4.94","5.83","6.53","2.92","3.38","4.13","Liberec","2021-11-16 19:00:00","openweather"
"2021-11-17 10:00:00","85","","","4.95","4.83","5.93","1.34","1.83","4.58","Kocelovice","2021-11-16 19:00:00","openweather"
"2021-11-17 10:00:00","83","","","4.14","4.54","4.87","0.3","0.69","4.31","Košetice","2021-11-16 19:00:00","openweather"
"2021-11-21 10:00:00","74","","","5.25","4.68","8.1","0.93","1.7","2.36","Kostelní Myslová","2021-11-16 19:00:00","openweather"
"2021-11-22 10:00:00","95","1.4","","3.69","3.42","4.45","2.7","4.22","2.7","Karlovy Vary","2021-11-16 19:00:00","openweather"
"2021-11-20 10:00:00","90","","","5.94","5.79","7.49","5.03","5.83","5.03","Pec pod Sněžkou","2021-11-16 19:00:00","openweather"
"2021-11-22 10:00:00","96","3.48","","3.94","4.6","5.56","3.63","5.4","3.63","Ústí nad Labem","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","71","","","3.01","2.3","4.86","0.26","2.03","0.26","Tušimice","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","67","","","8.65","7.03","9.11","4.46","5.53","4.46","Holešov","2021-11-16 19:00:00","openweather"
"2021-11-21 10:00:00","70","","","7.04","7.56","10.32","3.44","4.75","4.65","Brno-Tuřany","2021-11-16 19:00:00","openweather"
"2021-11-16 10:00:00","80","","","5.42","3.7","6.78","2.03","2.42","2.48","Kostelní Myslová","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","65","","","7.97","6.73","8.82","4.89","5.74","4.95","Praha-Kbely","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","67","","","2.52","2.24","5.12","-0.67","0.92","-0.67","Čáslav","2021-11-16 19:00:00","openweather"
"2021-11-19 10:00:00","72","","","8.66","9.63","10.6","3.48","3.48","8.8","Brno-Tuřany","2021-11-16 19:00:00","openweather"
"2021-11-20 10:00:00","82","","","6.3","6.3","7.48","4.85","5.51","4.85","Polom","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","56","","","3.71","2.45","5.68","-1.15","2.79","-1.15","Dukovany","2021-11-16 19:00:00","openweather"
"2021-11-20 10:00:00","79","","","6.15","5.74","7.58","3.2","3.9","3.2","Červená u Libavé","2021-11-16 19:00:00","openweather"
"2021-11-20 10:00:00","69","","","7.94","7.83","8.65","3.47","7.01","3.47","Kostelní Myslová","2021-11-16 19:00:00","openweather"
"2021-11-17 10:00:00","80","","","4.66","4.95","6.11","0.57","0.93","5.1","Temelín","2021-11-16 19:00:00","openweather"
"2021-11-16 10:00:00","70","","","5.68","2.42","6.42","0.42","0.88","2.02","Polom","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","58","","","3.18","1.78","5.12","-1.77","2.05","-1.77","Náměšť nad Oslavou","2021-11-16 19:00:00","openweather"
"2021-11-19 10:00:00","74","","","8.91","9.63","10.53","5.36","6.65","8.99","Praha-Kbely","2021-11-16 19:00:00","openweather"
"2021-11-19 10:00:00","78","","","5.95","8.63","9.32","2.83","2.89","5.84","České Budějovice","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","73","","","4.82","3.75","6.0","0.99","1.81","2.42","Milešovka","2021-11-16 19:00:00","openweather"
"2021-11-23 10:00:00","75","","","2.12","1.67","4.45","-0.95","1.29","-0.95","Ostrava-Mošnov","2021-11-16 19:00:00","openweather"
"2021-11-21 10:00:00","73","","","5.02","5.23","8.1","1.13","1.8","2.36","Temelín","2021-11-16 19:00:00","openweather"
"2021-11-18 10:00:00","67","","","7.85","5.23","8.41","4.01","5.65","4.01","České Budějovice","2021-11-16 19:00:00","openweather"
"2021-11-16 10:00:00","73","","","7.81","4.81","9.38","2.21","2.21","3.51","České Budějovice","2021-11-16 19:00:00","openweather"
"2021-11-19 10:00:00","90","","","0.19","1.23","1.81","-1.97","-0.56","1.13","Šerák","2021-11-16 19:00:00","openweather"
"2021-11-22 10:00:00","79","0.51","0.36","1.43","0.66","1.79","-1.16","-1.16","-0.25","Churáňov","2021-11-16 19:00:00","openweather"
"2021-11-22 10:00:00","90","1.39","","5.99","5.19","6.98","5.04","6.64","5.04","Praha-Libuš","2021-11-16 19:00:00","openweather"
"2021-11-16 10:00:00","69","","","6.19","2.78","7.48","-0.16","0.16","1.68","Luká","2021-11-16 19:00:00","openweather"
"2021-11-20 10:00:00","83","","","8.7","9.11","10.11","5.07","8.45","5.07","Ústí nad Labem","2021-11-16 19:00:00","openweather"
"2021-11-16 10:00:00","71","","","6.58","4.77","8.08","1.54","1.78","3.63","Dukovany","2021-11-16 19:00:00","openweather"
"2021-11-22 10:00:00","95","1.74","","5.17","5.98","6.94","5.08","6.66","5.08","Kopisty","2021-11-16 19:00:00","openweather"
"2021-11-19 10:00:00","85","0.14","","5.83","7.23","7.89","2.7","3.77","6.54","Přibyslav","2021-11-16 19:00:00","openweather"
