"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Lysá hora","neměřitelné","3 mm","2,8 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Plzeň-Mikulka","neměřitelné","0,7 mm","16,2 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Holešov","0,0 mm","3 mm","3,3 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Pec pod Sněžkou","0,0 mm","1 mm","14,1 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Prostějov"," ","1 mm","7,1 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Ústí nad Orlicí","neměřitelné","0,1 mm","10,2 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Dukovany","0,0 mm","0,0 mm","5,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Luká","0,0 mm","0,6 mm","10,7 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Přibyslav","0,0 mm","neměřitelné","10,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Kopisty"," ","0,3 mm","18,9 mm"," "," ","02/11/2021 20:00:00"
"Jičín"," "," ","14,4 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Praha-Ruzyně","0,0 mm","neměřitelné","15,1 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Liberec","0,0 mm","5 mm","15,7 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Čáslav","0,0 mm","neměřitelné","11,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Praha-Libuš","0,0 mm","neměřitelné","16,6 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Praha-Kbely","0,0 mm","neměřitelné","8,0 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Kuchařovice","0,0 mm","0,5 mm","5,1 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Pardubice","0,0 mm","0,1 mm","10,5 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Temelín","0,0 mm","0,4 mm","17,3 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Náměšť nad Oslavou","0,0 mm","neměřitelné","6,5 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Milešovka"," ","0,2 mm","19,3 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Maruška","0,0 mm"," ","4,3 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Kocelovice","neměřitelné","0,1 mm","17,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Karlovy Vary","neměřitelné","neměřitelné","9,7 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Churáňov","0,7 mm","0,2 mm","21,5 mm","poprašek","poprašek","02/11/2021 20:00:00"
"Brno-Tuřany","0,0 mm","0,4 mm","9,3 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Košetice","0,0 mm","0,2 mm","14,6 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Ostrava-Mošnov","0,0 mm","3 mm","2,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Červená u Libavé","0,0 mm","3 mm","4,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Přimda","0,4 mm","1 mm","8,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Cheb","0,0 mm","0,4 mm","4,6 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","8,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Polom","0,2 mm","0,2 mm","10,2 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Praha-Karlov","0,0 mm","neměřitelné"," "," "," ","02/11/2021 20:00:00"
"České Budějovice","0,0 mm","neměřitelné","14,2 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Tušimice","0,1 mm","0,0 mm","14,0 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Šerák","0,0 mm","2 mm","8,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Doksany","0,0 mm","0,1 mm","16,4 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Svratouch","0,0 mm","neměřitelné","9,7 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Ústí nad Labem","0,0 mm","1 mm","20,9 mm","0 cm","0 cm","02/11/2021 20:00:00"
"Pardubice","0,0 mm","0,0 mm","0,0 mm","0 cm"," ","24/10/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","24/10/2021 19:00:00"
"Churáňov","0,0 mm","0,0 mm","neměřitelné","roztál","0 cm","24/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Kocelovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Svratouch","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","24/10/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","24/10/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Liberec","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,1 mm","poprašek","0 cm","24/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","24/10/2021 19:00:00"
