"city","country","forecast","humidity","locationId","state","temperature","time","windDirection","windSpeed","zipCode","location_name","date_stamp"
"Luká","Czech Republic","AM Rain/Partly Cloudy","86/82","b9add27942db714cc2f27c1955ebbce724dd20f700a821bc72c4ffb069a8aada","Olomouc","11/3","2021-11-04T07:00:00+0100","SSW/WSW","30/18","783 24","Luká","2021-11-03 20:00:00"
"Kuchařovice","Czech Republic","AM Light Rain/Mostly Clear","79/81","5a093ec63fb7de458e4e319cb3e1dadc536f3b5f2fc695163d8bde315aae8f85","South Moravian","12/2","2021-11-04T07:00:00+0100","SW/W","28/16","671 82","Kuchařovice","2021-11-03 20:00:00"
"","Czech Republic","null/Rain","null/87","0f982af7a29a083094eccfe65c7d3cab34047ecea958f0fe7c970d6e15f210ff","","null/8","2021-11-03T07:00:00+0100","null/SE","null/16","460 05","Liberec","2021-11-03 20:00:00"
"","Czech Republic","Cloudy/Mostly Cloudy","82/94","1bde95b07b0cb7dc74bc8cff314d409b503a0790dfd718a0e1c62d7a798f420b","","7/2","2021-11-05T07:00:00+0100","W/WNW","21/12","582 22","Přibyslav","2021-11-03 20:00:00"
"","Czech Republic","Showers/Showers","85/94","61abc6b803796e59d6b735e0a8394abcbaa25575a360d0ab8b0e772a38b845f7","","7/1","2021-11-12T07:00:00+0100","W/WNW","8/7","351 01","Cheb","2021-11-03 20:00:00"
"","Czech Republic","Showers/Showers","82/87","b1c1a8721569b42db6c7c7deaf17e8e0394cdc1e63e39d62757458488f520879","","8/5","2021-11-07T07:00:00+0100","SW/WSW","24/23","431 45","Tušimice","2021-11-03 20:00:00"
"","Czech Republic","Light Rain/Light Rain","82/88","0f982af7a29a083094eccfe65c7d3cab34047ecea958f0fe7c970d6e15f210ff","","7/4","2021-11-07T07:00:00+0100","SSW/WSW","19/14","460 05","Liberec","2021-11-03 20:00:00"
"Hošťálková","Czech Republic","Showers/Mostly Cloudy","73/85","cf9533286d3c14eb7cd642aa43b0e56aeae3b0877f0bba48f6809cb627f8a800","Zlín","7/1","2021-11-11T07:00:00+0100","S/S","14/11","756 22","Maruška","2021-11-03 20:00:00"
"Pec pod Sněžkou","Czech Republic","Snow Showers/Mostly Cloudy","92/98","036606dfc47801b11108040000b0fff34bb046232b0a4a620b955ff360a493bb","Hradec Králové","4/1","2021-11-05T07:00:00+0100","WSW/WSW","11/8","542 21","Pec pod Sněžkou","2021-11-03 20:00:00"
"","Czech Republic","AM Showers/Rain/Snow Showers","78/86","a3db382cbc6de197c4f7bd43a07ee6da447d9a35d4f1e0e6723c0e9aa48dbc36","","4/0","2021-11-12T07:00:00+0100","SW/SW","18/20","783 07","Červená u Libavé","2021-11-03 20:00:00"
"","Czech Republic","Showers/Showers","81/90","8d40e4e1b4384ca7e6de1bf9df5054a4bb7f55a21c8994d7284c4dd1ac8a5623","","8/1","2021-11-11T07:00:00+0100","SSW/NW","9/6","507 11","Jičín","2021-11-03 20:00:00"
"","Czech Republic","Showers/Light Rain","93/94","f7a8a558d6a2964fdcd45429435a0b953f21d84559fefb969335aa66265a5798","","3/2","2021-11-07T07:00:00+0100","WSW/W","21/19","348 06","Přimda","2021-11-03 20:00:00"
"Luká","Czech Republic","PM Showers/Showers Late","78/87","b9add27942db714cc2f27c1955ebbce724dd20f700a821bc72c4ffb069a8aada","Olomouc","6/1","2021-11-11T07:00:00+0100","SSW/W","14/13","783 24","Luká","2021-11-03 20:00:00"
"Luká","Czech Republic","Partly Cloudy/Partly Cloudy","79/85","b9add27942db714cc2f27c1955ebbce724dd20f700a821bc72c4ffb069a8aada","Olomouc","8/1","2021-11-06T07:00:00+0100","W/SW","15/12","783 24","Luká","2021-11-03 20:00:00"
"Doksany","Czech Republic","PM Showers/Showers","78/84","c2c0d0601e0907589dba2055866f0ba8943c019255b7458001f969ce34058fe9","Ústí nad Labem","9/5","2021-11-07T07:00:00+0100","SW/WSW","22/22","411 82","Doksany","2021-11-03 20:00:00"
"","Czech Republic","Rain/Snow Showers/Wind/Rain/Snow Showers/Wind","90/90","8d406a8b3223659d4b8a98b2f82bafac4b7c1acff1deef9cb6ff4808c37a5604","","5/3","2021-11-07T07:00:00+0100","SW/WSW","32/36","411 32","Milešovka","2021-11-03 20:00:00"
"","Czech Republic","Rain/Mostly Cloudy","90/87","46569898b236e955e20c2cc4546f823c6d97a6133c1839d36cd9ab2f4e15b2d4","","8/1","2021-11-04T07:00:00+0100","SSW/SW","32/30","790 63","Šerák","2021-11-03 20:00:00"
"","Czech Republic","Partly Cloudy/Mostly Cloudy","75/86","f1eae844e3f5f95e6784a5a708f4af6258fe225fefad33bd597038a10539c805","","8/2","2021-11-05T07:00:00+0100","W/WNW","17/11","588 56","Kostelní Myslová","2021-11-03 20:00:00"
"","Czech Republic","AM Showers/Showers","81/92","695bdead27bdd4249476d7c0a0fb5f226276df6aff55c3e7794b543076a50614","","6/1","2021-11-08T07:00:00+0100","W/WNW","25/15","387 42","Kocelovice","2021-11-03 20:00:00"
"Svratouch","Czech Republic","Partly Cloudy/Partly Cloudy","79/89","3e9cd0b2163f9bbe346ccc22176a11ac26ccd4723a9d9384327bcdc40430430a","Pardubice","6/-2","2021-11-09T07:00:00+0100","NE/SE","12/13","539 42","Svratouch","2021-11-03 20:00:00"
"České Budějovice","Czech Republic","Partly Cloudy/Partly Cloudy","74/84","b6dc300cea6e6b4c36035bb679849694e883f8bc225de1bc9e1dae691f6d3e96","South Bohemia","9/2","2021-11-05T07:00:00+0100","W/W","12/7","370 04","České Budějovice","2021-11-03 20:00:00"
"","Czech Republic","Showers/Mostly Cloudy","84/96","8d40e4e1b4384ca7e6de1bf9df5054a4bb7f55a21c8994d7284c4dd1ac8a5623","","8/3","2021-11-05T07:00:00+0100","W/W","16/7","507 11","Jičín","2021-11-03 20:00:00"
"","Czech Republic","PM Showers/Mostly Cloudy","69/83","67a94d5b9e1cdc7dca56e3088867367da1d00eef0dedfb9a5aeda39f0ef7d948","","10/2","2021-11-08T07:00:00+0100","W/NNW","22/11","769 01","Holešov","2021-11-03 20:00:00"
"Ostrava","Czech Republic","AM Light Rain/Wind/Mostly Clear","79/82","38167146c1f54521a434315934d7a970d4652bfc4d86ac2d6739aa0c752c075d","Moravian-Silesian","16/4","2021-11-04T07:00:00+0100","SSW/SW","34/27","710 00","Ostrava-Mošnov","2021-11-03 20:00:00"
"Ostrava","Czech Republic","Partly Cloudy/Showers Late","70/79","38167146c1f54521a434315934d7a970d4652bfc4d86ac2d6739aa0c752c075d","Moravian-Silesian","10/2","2021-11-10T07:00:00+0100","SSW/SSW","18/18","710 00","Ostrava-Mošnov","2021-11-03 20:00:00"
"","Czech Republic","Partly Cloudy/Partly Cloudy","81/91","695bdead27bdd4249476d7c0a0fb5f226276df6aff55c3e7794b543076a50614","","7/-2","2021-11-06T07:00:00+0100","W/W","15/10","387 42","Kocelovice","2021-11-03 20:00:00"
"Temelín","Czech Republic","Showers/Showers Early","76/87","5fc341840c16c080b0c297f145eadc7ac439c50ac4704a9da986b701b9cf133d","South Bohemia","7/2","2021-11-08T07:00:00+0100","W/WNW","21/11","373 01","Temelín","2021-11-03 20:00:00"
"Karlovy Vary","Czech Republic","Rain/Showers","93/94","c156caec7a5e871553e6769e82bb24a5e9d23172b2a8e387124ca61e64f71b4b","Karlovy Vary","7/4","2021-11-04T07:00:00+0100","W/WSW","21/21","360 04","Karlovy Vary","2021-11-03 20:00:00"
"Pec pod Sněžkou","Czech Republic","Partly Cloudy/Partly Cloudy","82/93","036606dfc47801b11108040000b0fff34bb046232b0a4a620b955ff360a493bb","Hradec Králové","4/-3","2021-11-09T07:00:00+0100","SW/SSW","6/4","542 21","Pec pod Sněžkou","2021-11-03 20:00:00"
"Prague","Czech Republic","PM Showers/Mostly Cloudy","79/89","81cbe8a06fd80171651aef7a414bce1e599aa05082d82f4e319f94b4b60602e0","Prague","10/2","2021-11-11T07:00:00+0100","WSW/WSW","13/10","110 00","Praha-Karlov","2021-11-03 20:00:00"
"Hošťálková","Czech Republic","null/Rain","null/82","cf9533286d3c14eb7cd642aa43b0e56aeae3b0877f0bba48f6809cb627f8a800","Zlín","null/9","2021-11-03T07:00:00+0100","null/SSE","null/26","756 22","Maruška","2021-11-03 20:00:00"
"Plzeň","Czech Republic","Rain/Cloudy","90/89","01a02856a1fde3883726785adbcf5a99a0a3396f6f457d8230904c446306f279","Plzeň","7/4","2021-11-04T07:00:00+0100","WSW/WSW","25/23","301 00","Plzeň-Mikulka","2021-11-03 20:00:00"
"Ústí nad Labem","Czech Republic","Showers/Mostly Cloudy","84/88","141d47e5fece55949584a012ad4f7e6f46f41893ad76985e1a627c94dfefa48a","Ústí nad Labem","6/2","2021-11-11T07:00:00+0100","W/WNW","8/7","400 01","Ústí nad Labem","2021-11-03 20:00:00"
"Svratouch","Czech Republic","null/Light Rain","null/95","3e9cd0b2163f9bbe346ccc22176a11ac26ccd4723a9d9384327bcdc40430430a","Pardubice","null/7","2021-11-03T07:00:00+0100","null/SE","null/31","539 42","Svratouch","2021-11-03 20:00:00"
"","Czech Republic","Showers/Showers Late","82/90","b1c1a8721569b42db6c7c7deaf17e8e0394cdc1e63e39d62757458488f520879","","8/3","2021-11-08T07:00:00+0100","W/W","23/16","431 45","Tušimice","2021-11-03 20:00:00"
"Čáslav","Czech Republic","null/Light Rain","null/87","67ad0b2dc3d32da0397076281bf5c15cfae5de8918f7c3a58dedf36266c49ec2","Central Bohemian","null/9","2021-11-03T07:00:00+0100","null/SE","null/18","285 63","Čáslav","2021-11-03 20:00:00"
"Ústí nad Labem","Czech Republic","Partly Cloudy/Showers","79/86","141d47e5fece55949584a012ad4f7e6f46f41893ad76985e1a627c94dfefa48a","Ústí nad Labem","6/1","2021-11-10T07:00:00+0100","S/S","9/7","400 01","Ústí nad Labem","2021-11-03 20:00:00"
"","Czech Republic","Partly Cloudy/Partly Cloudy","82/85","46569898b236e955e20c2cc4546f823c6d97a6133c1839d36cd9ab2f4e15b2d4","","4/0","2021-11-06T07:00:00+0100","SW/SW","15/16","790 63","Šerák","2021-11-03 20:00:00"
"","Czech Republic","Rain/Snow/Snow Showers","73/80","56f788bf3e3c1522d75d51a2edc42db42eed1bc49f3540ec1c731f1505ba0245","","4/-1","2021-11-12T07:00:00+0100","WSW/WSW","9/10","384 72","Churáňov","2021-11-03 20:00:00"
"Náměšť nad Oslavou","Czech Republic","null/Light Rain","null/96","c92d7704e8d9e93094de8ba037ca3810a1a787f5ca5341ac8e86c0ec03482be7","Vysočina","null/8","2021-11-03T07:00:00+0100","null/SE","null/26","675 71","Náměšť nad Oslavou","2021-11-03 20:00:00"
"","Czech Republic","Mostly Cloudy/Mostly Cloudy","85/89","56f788bf3e3c1522d75d51a2edc42db42eed1bc49f3540ec1c731f1505ba0245","","2/-1","2021-11-05T07:00:00+0100","WSW/WSW","15/11","384 72","Churáňov","2021-11-03 20:00:00"
"","","null/Rain","null/96","855ebbe69a4ce081ee4b27b05ccdbd97cc202b3e12239134ab2ac6d5ae92400b","","null/5","2021-11-03T07:00:00+0100","null/SSE","null/7","161 00","Praha-Ruzyně","2021-11-03 20:00:00"
"Doksany","Czech Republic","Mostly Cloudy/Showers Late","82/88","c2c0d0601e0907589dba2055866f0ba8943c019255b7458001f969ce34058fe9","Ústí nad Labem","8/4","2021-11-12T07:00:00+0100","W/W","13/14","411 82","Doksany","2021-11-03 20:00:00"
"Čáslav","Czech Republic","Showers/Showers Early","72/86","67ad0b2dc3d32da0397076281bf5c15cfae5de8918f7c3a58dedf36266c49ec2","Central Bohemian","9/2","2021-11-08T07:00:00+0100","W/WNW","25/14","285 63","Čáslav","2021-11-03 20:00:00"
