location,fday,source,temp_max_diff,temp_min_diff,temp_mean_diff,rain_diff
Brno-Tuřany,0.0,weathercom,,1.8199999999999996,,
Brno-Tuřany,1.0,weathercom,0.9785714285714286,2.114285714285714,,
Brno-Tuřany,1.0,yrno,1.8199999999999998,1.4333333333333336,1.0088888888888887,1.0333333333333334
Brno-Tuřany,2.0,weathercom,1.1307692307692307,1.8153846153846156,,
Brno-Tuřany,2.0,yrno,2.107142857142857,1.2785714285714282,1.0696428571428571,1.8071428571428572
Brno-Tuřany,3.0,weathercom,0.9833333333333333,2.2333333333333334,,
Brno-Tuřany,3.0,yrno,2.161538461538462,1.1538461538461537,0.9634615384615384,0.823076923076923
Brno-Tuřany,4.0,weathercom,1.2545454545454544,2.4636363636363634,,
Brno-Tuřany,4.0,yrno,2.408333333333333,2.125,1.1145833333333333,3.4333333333333336
Brno-Tuřany,5.0,weathercom,1.6400000000000001,2.2799999999999994,,
Brno-Tuřany,5.0,yrno,2.7818181818181817,1.6272727272727274,1.0295454545454545,2.1454545454545455
Brno-Tuřany,6.0,weathercom,2.033333333333333,2.5444444444444443,,
Brno-Tuřany,6.0,yrno,2.4299999999999997,1.7100000000000002,1.1025,2.14
Brno-Tuřany,7.0,weathercom,2.05,2.3125,,
Brno-Tuřany,7.0,yrno,2.5444444444444443,1.7777777777777777,0.8250000000000001,2.444444444444444
Brno-Tuřany,8.0,weathercom,2.1857142857142855,3.0,,
Brno-Tuřany,8.0,yrno,2.4875,1.8624999999999998,1.565625,3.2499999999999996
Brno-Tuřany,9.0,weathercom,2.483333333333333,2.45,,
Brno-Tuřany,9.0,yrno,3.542857142857143,4.1571428571428575,1.8428571428571427,5.1000000000000005
Cheb,0.0,weathercom,,1.2199999999999998,,
Cheb,1.0,weathercom,1.214285714285714,1.4142857142857141,,
Cheb,1.0,yrno,1.06,0.9466666666666667,0.8158333333333333,0.7000000000000001
Cheb,2.0,weathercom,1.369230769230769,1.723076923076923,,
Cheb,2.0,yrno,1.207142857142857,0.95,0.7800595238095236,0.7153846153846152
Cheb,3.0,weathercom,1.5999999999999999,1.4333333333333333,,
Cheb,3.0,yrno,1.369230769230769,1.4230769230769231,1.05,1.991666666666667
Cheb,4.0,weathercom,1.6545454545454545,1.5363636363636362,,
Cheb,4.0,yrno,1.6749999999999998,1.275,1.0708333333333333,1.7999999999999998
Cheb,5.0,weathercom,1.27,1.64,,
Cheb,5.0,yrno,1.5181818181818185,1.3272727272727274,0.9454545454545453,1.6272727272727274
Cheb,6.0,weathercom,1.9666666666666661,2.1555555555555554,,
Cheb,6.0,yrno,2.12,1.78,1.4424999999999997,1.41
Cheb,7.0,weathercom,1.6374999999999997,2.175,,
Cheb,7.0,yrno,1.822222222222222,1.6111111111111114,0.8750000000000001,1.6444444444444444
Cheb,8.0,weathercom,1.3857142857142857,2.0714285714285716,,
Cheb,8.0,yrno,1.7249999999999996,1.2874999999999999,1.21875,2.225
Cheb,9.0,weathercom,1.4166666666666663,1.7833333333333332,,
Cheb,9.0,yrno,2.471428571428571,2.457142857142857,1.5785714285714287,2.8857142857142857
Churáňov,0.0,weathercom,,1.2600000000000002,,
Churáňov,1.0,weathercom,2.185714285714286,1.3285714285714287,,
Churáňov,1.0,yrno,1.56,1.3,0.8580555555555558,0.5142857142857141
Churáňov,2.0,weathercom,2.3076923076923084,1.553846153846154,,
Churáňov,2.0,yrno,1.807142857142857,1.5071428571428573,0.9627976190476194,1.0142857142857142
Churáňov,3.0,weathercom,2.6250000000000004,1.875,,
Churáňov,3.0,yrno,2.376923076923077,1.7615384615384617,1.442307692307692,0.9538461538461536
Churáňov,4.0,weathercom,3.0454545454545463,2.2636363636363637,,
Churáňov,4.0,yrno,2.9916666666666667,1.95,2.072916666666667,1.6500000000000004
Churáňov,5.0,weathercom,3.45,2.38,,
Churáňov,5.0,yrno,3.1181818181818177,2.6999999999999997,2.3454545454545452,2.7636363636363637
Churáňov,6.0,weathercom,2.9666666666666672,2.4555555555555557,,
Churáňov,6.0,yrno,2.75,2.4699999999999998,2.3875,1.26
Churáňov,7.0,weathercom,3.125000000000001,1.75,,
Churáňov,7.0,yrno,3.4444444444444446,2.4000000000000004,1.7805555555555554,2.166666666666667
Churáňov,8.0,weathercom,2.400000000000001,1.8571428571428574,,
Churáňov,8.0,yrno,2.9750000000000005,2.6125,1.9187500000000002,3.2375
Churáňov,9.0,weathercom,2.5166666666666666,1.7166666666666666,,
Churáňov,9.0,yrno,2.442857142857143,2.9571428571428564,2.414285714285714,7.799999999999999
Doksany,0.0,weathercom,,3.9333333333333327,,
Doksany,1.0,weathercom,1.3785714285714286,4.05,,
Doksany,1.0,yrno,1.2133333333333336,3.4733333333333323,1.959444444444444,1.4357142857142864
Doksany,2.0,weathercom,1.6153846153846156,4.369230769230769,,
Doksany,2.0,yrno,1.5000000000000004,3.8642857142857148,1.9080357142857143,1.1538461538461537
Doksany,3.0,weathercom,1.5583333333333336,4.408333333333332,,
Doksany,3.0,yrno,1.6153846153846154,3.96923076923077,1.6942307692307697,1.8666666666666665
Doksany,4.0,weathercom,1.3181818181818186,4.436363636363636,,
Doksany,4.0,yrno,2.533333333333333,3.991666666666667,1.7562499999999996,1.0909090909090908
Doksany,5.0,weathercom,1.5800000000000003,4.549999999999999,,
Doksany,5.0,yrno,1.8636363636363635,3.9181818181818184,1.7772727272727271,0.9399999999999998
Doksany,6.0,weathercom,1.677777777777778,5.144444444444443,,
Doksany,6.0,yrno,2.07,4.6899999999999995,2.2449999999999997,2.44
Doksany,7.0,weathercom,1.9000000000000004,5.099999999999999,,
Doksany,7.0,yrno,2.3,4.033333333333333,1.588888888888889,2.4777777777777774
Doksany,8.0,weathercom,1.9000000000000004,4.8999999999999995,,
Doksany,8.0,yrno,3.4625000000000004,4.3,1.9812500000000002,3.549999999999999
Doksany,9.0,weathercom,2.3333333333333335,4.450000000000001,,
Doksany,9.0,yrno,3.5428571428571436,3.085714285714286,2.0857142857142854,4.057142857142856
Dukovany,0.0,weathercom,,1.613333333333333,,
Dukovany,1.0,weathercom,0.6285714285714284,1.75,,
Dukovany,1.0,yrno,1.4933333333333332,1.2733333333333334,0.8777777777777772,1.4142857142857141
Dukovany,2.0,weathercom,0.8461538461538463,1.4692307692307693,,
Dukovany,2.0,yrno,1.7642857142857145,0.8285714285714285,0.9163690476190477,1.484615384615385
Dukovany,3.0,weathercom,0.8499999999999998,1.8833333333333335,,
Dukovany,3.0,yrno,2.1153846153846154,1.6076923076923073,0.9826923076923078,1.491666666666667
Dukovany,4.0,weathercom,0.9363636363636363,1.9636363636363638,,
Dukovany,4.0,yrno,2.1166666666666667,1.5916666666666668,1.227083333333333,3.5727272727272723
Dukovany,5.0,weathercom,0.9899999999999999,2.25,,
Dukovany,5.0,yrno,2.2,1.5272727272727271,0.990909090909091,2.96
Dukovany,6.0,weathercom,1.2333333333333334,2.7777777777777777,,
Dukovany,6.0,yrno,1.8200000000000003,1.9800000000000004,1.3150000000000006,1.344444444444444
Dukovany,7.0,weathercom,1.0,2.6625,,
Dukovany,7.0,yrno,1.8111111111111111,2.622222222222222,1.2250000000000003,1.525
Dukovany,8.0,weathercom,1.285714285714286,2.9,,
Dukovany,8.0,yrno,2.1125000000000003,2.525,1.6968750000000001,1.6857142857142855
Dukovany,9.0,weathercom,1.7833333333333334,3.0833333333333335,,
Dukovany,9.0,yrno,2.1571428571428575,4.7857142857142865,1.907142857142857,4.7
Holešov,0.0,weathercom,,2.42,,
Holešov,1.0,weathercom,0.47142857142857114,2.2857142857142856,,
Holešov,1.0,yrno,1.6999999999999997,2.0266666666666664,1.1880555555555563,1.16
Holešov,2.0,weathercom,0.5384615384615383,2.361538461538461,,
Holešov,2.0,yrno,1.8214285714285714,1.8357142857142854,1.3000000000000003,1.8499999999999999
