forecast_date,location,date_stamp_f,temp_max,temp_min,fday,source,temp_mean,rain,chmi_temp_avg,chmi_temp_max,chmi_temp_min,date_stamp_chmi,chmi_rain,chmi_snow,temp_max_diff,temp_min_diff,temp_mean_diff,rain_diff
2021-11-04,Luká,2021-11-03 20:00:00,11.0,3.0,1.0,weathercom,,,6.5,10.7,2.6,2021-11-05 19:00:00,1.5,0.0,0.3000000000000007,0.3999999999999999,,
2021-11-04,Kuchařovice,2021-11-03 20:00:00,12.0,2.0,1.0,weathercom,,,7.4,11.2,1.3,2021-11-05 19:00:00,0.1,0.0,0.8000000000000007,0.7,,
2021-11-03,Liberec,2021-11-03 20:00:00,,8.0,0.0,weathercom,,,8.0,10.7,4.7,2021-11-04 20:00:00,4.0,0.0,,3.3,,
2021-11-05,Přibyslav,2021-11-03 20:00:00,7.0,2.0,2.0,weathercom,,,4.8,7.7,2.8,2021-11-06 19:00:00,0.3,0.0,0.7000000000000002,0.7999999999999998,,
2021-11-12,Cheb,2021-11-03 20:00:00,7.0,1.0,9.0,weathercom,,,,,,,,,,,,
2021-11-07,Tušimice,2021-11-03 20:00:00,8.0,5.0,4.0,weathercom,,,,,,,,,,,,
2021-11-07,Liberec,2021-11-03 20:00:00,7.0,4.0,4.0,weathercom,,,,,,,,,,,,
2021-11-11,Maruška,2021-11-03 20:00:00,7.0,1.0,8.0,weathercom,,,,,,,,,,,,
2021-11-05,Pec pod Sněžkou,2021-11-03 20:00:00,4.0,1.0,2.0,weathercom,,,2.7,3.6,1.0,2021-11-06 19:00:00,5.4,,0.3999999999999999,0.0,,
2021-11-12,Červená u Libavé,2021-11-03 20:00:00,4.0,0.0,9.0,weathercom,,,,,,,,,,,,
2021-11-11,Jičín,2021-11-03 20:00:00,8.0,1.0,8.0,weathercom,,,,,,,,,,,,
2021-11-07,Přimda,2021-11-03 20:00:00,3.0,2.0,4.0,weathercom,,,,,,,,,,,,
2021-11-11,Luká,2021-11-03 20:00:00,6.0,1.0,8.0,weathercom,,,,,,,,,,,,
2021-11-06,Luká,2021-11-03 20:00:00,8.0,1.0,3.0,weathercom,,,4.6,9.3,2.6,2021-11-07 19:00:00,0.0,0.0,1.3000000000000007,1.6,,
2021-11-07,Doksany,2021-11-03 20:00:00,9.0,5.0,4.0,weathercom,,,,,,,,,,,,
2021-11-07,Milešovka,2021-11-03 20:00:00,5.0,3.0,4.0,weathercom,,,,,,,,,,,,
2021-11-04,Šerák,2021-11-03 20:00:00,8.0,1.0,1.0,weathercom,,,0.8,6.1,-2.4,2021-11-05 19:00:00,9.5,0.0,1.9000000000000004,3.4,,
2021-11-05,Kostelní Myslová,2021-11-03 20:00:00,8.0,2.0,2.0,weathercom,,,5.1,8.9,0.6,2021-11-06 19:00:00,,0.0,0.9000000000000004,1.4,,
2021-11-08,Kocelovice,2021-11-03 20:00:00,6.0,1.0,5.0,weathercom,,,,,,,,,,,,
2021-11-09,Svratouch,2021-11-03 20:00:00,6.0,-2.0,6.0,weathercom,,,,,,,,,,,,
2021-11-05,České Budějovice,2021-11-03 20:00:00,9.0,2.0,2.0,weathercom,,,6.4,9.9,0.7,2021-11-06 19:00:00,0.0,0.0,0.9000000000000004,1.3,,
2021-11-05,Jičín,2021-11-03 20:00:00,8.0,3.0,2.0,weathercom,,,6.0,7.9,3.4,2021-11-06 19:00:00,1.0,0.0,0.09999999999999964,0.3999999999999999,,
2021-11-08,Holešov,2021-11-03 20:00:00,10.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-04,Ostrava-Mošnov,2021-11-03 20:00:00,16.0,4.0,1.0,weathercom,,,8.7,17.6,4.7,2021-11-05 19:00:00,2.4,0.0,1.6000000000000014,0.7000000000000002,,
2021-11-10,Ostrava-Mošnov,2021-11-03 20:00:00,10.0,2.0,7.0,weathercom,,,,,,,,,,,,
2021-11-06,Kocelovice,2021-11-03 20:00:00,7.0,-2.0,3.0,weathercom,,,4.2,9.0,-2.5,2021-11-07 19:00:00,0.0,0.0,2.0,0.5,,
2021-11-08,Temelín,2021-11-03 20:00:00,7.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-04,Karlovy Vary,2021-11-03 20:00:00,7.0,4.0,1.0,weathercom,,,4.5,5.2,3.0,2021-11-05 19:00:00,14.9,0.0,1.7999999999999998,1.0,,
2021-11-09,Pec pod Sněžkou,2021-11-03 20:00:00,4.0,-3.0,6.0,weathercom,,,,,,,,,,,,
2021-11-11,Praha-Karlov,2021-11-03 20:00:00,10.0,2.0,8.0,weathercom,,,,,,,,,,,,
2021-11-03,Maruška,2021-11-03 20:00:00,,9.0,0.0,weathercom,,,7.2,10.0,3.3,2021-11-04 20:00:00,3.6,0.0,,5.7,,
2021-11-04,Plzeň-Mikulka,2021-11-03 20:00:00,7.0,4.0,1.0,weathercom,,,6.5,7.6,5.0,2021-11-05 19:00:00,7.7,0.0,0.5999999999999996,1.0,,
2021-11-11,Ústí nad Labem,2021-11-03 20:00:00,6.0,2.0,8.0,weathercom,,,,,,,,,,,,
2021-11-03,Svratouch,2021-11-03 20:00:00,,7.0,0.0,weathercom,,,4.9,7.7,0.6,2021-11-04 20:00:00,0.7,0.0,,6.4,,
2021-11-08,Tušimice,2021-11-03 20:00:00,8.0,3.0,5.0,weathercom,,,,,,,,,,,,
2021-11-03,Čáslav,2021-11-03 20:00:00,,9.0,0.0,weathercom,,,7.5,11.6,2.3,2021-11-04 20:00:00,2.1,0.0,,6.7,,
2021-11-10,Ústí nad Labem,2021-11-03 20:00:00,6.0,1.0,7.0,weathercom,,,,,,,,,,,,
2021-11-06,Šerák,2021-11-03 20:00:00,4.0,0.0,3.0,weathercom,,,-2.0,-1.1,-2.7,2021-11-07 19:00:00,0.0,0.0,5.1,2.7,,
2021-11-12,Churáňov,2021-11-03 20:00:00,4.0,-1.0,9.0,weathercom,,,,,,,,,,,,
2021-11-03,Náměšť nad Oslavou,2021-11-03 20:00:00,,8.0,0.0,weathercom,,,5.3,8.7,-0.1,2021-11-04 20:00:00,4.3,0.0,,8.1,,
2021-11-05,Churáňov,2021-11-03 20:00:00,2.0,-1.0,2.0,weathercom,,,0.5,2.2,-1.7,2021-11-06 19:00:00,0.1,,0.20000000000000018,0.7,,
2021-11-03,Praha-Ruzyně,2021-11-03 20:00:00,,5.0,0.0,weathercom,,,6.4,9.5,2.1,2021-11-04 20:00:00,4.5,0.0,,2.9,,
2021-11-12,Doksany,2021-11-03 20:00:00,8.0,4.0,9.0,weathercom,,,,,,,,,,,,
2021-11-08,Čáslav,2021-11-03 20:00:00,9.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-04,Červená u Libavé,2021-11-03 20:00:00,10.0,1.0,1.0,weathercom,,,5.2,10.4,0.2,2021-11-05 19:00:00,6.6,0.0,0.40000000000000036,0.8,,
2021-11-11,Svratouch,2021-11-03 20:00:00,6.0,0.0,8.0,weathercom,,,,,,,,,,,,
2021-11-06,Pardubice,2021-11-03 20:00:00,10.0,2.0,3.0,weathercom,,,5.2,12.0,-1.2,2021-11-07 19:00:00,0.0,0.0,2.0,3.2,,
2021-11-08,Maruška,2021-11-03 20:00:00,8.0,1.0,5.0,weathercom,,,,,,,,,,,,
2021-11-03,Dukovany,2021-11-03 20:00:00,,8.0,0.0,weathercom,,,6.3,10.2,0.0,2021-11-04 20:00:00,3.4,0.0,,8.0,,
2021-11-11,Kostelní Myslová,2021-11-03 20:00:00,7.0,1.0,8.0,weathercom,,,,,,,,,,,,
2021-11-06,Ústí nad Orlicí,2021-11-03 20:00:00,8.0,1.0,3.0,weathercom,,,4.1,10.1,-3.7,2021-11-07 19:00:00,0.0,0.0,2.0999999999999996,4.7,,
2021-11-09,Kuchařovice,2021-11-03 20:00:00,9.0,-1.0,6.0,weathercom,,,,,,,,,,,,
2021-11-04,Kocelovice,2021-11-03 20:00:00,6.0,2.0,1.0,weathercom,,,5.6,7.9,3.6,2021-11-05 19:00:00,1.4,0.0,1.9000000000000004,1.6,,
2021-11-03,Lysá hora,2021-11-03 20:00:00,,2.0,0.0,weathercom,,,2.3,5.5,0.2,2021-11-04 20:00:00,0.5,0.0,,1.8,,
2021-11-04,Tušimice,2021-11-03 20:00:00,8.0,5.0,1.0,weathercom,,,7.4,8.9,5.3,2021-11-05 19:00:00,12.6,0.0,0.9000000000000004,0.2999999999999998,,
2021-11-07,Prostějov,2021-11-03 20:00:00,9.0,4.0,4.0,weathercom,,,,,,,,,,,,
2021-11-08,Jičín,2021-11-03 20:00:00,8.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-08,Praha-Karlov,2021-11-03 20:00:00,10.0,3.0,5.0,weathercom,,,,,,,,,,,,
2021-11-07,Praha-Libuš,2021-11-03 20:00:00,9.0,4.0,4.0,weathercom,,,,,,,,,,,,
2021-11-10,Maruška,2021-11-03 20:00:00,8.0,0.0,7.0,weathercom,,,,,,,,,,,,
2021-11-10,Karlovy Vary,2021-11-03 20:00:00,7.0,1.0,7.0,weathercom,,,,,,,,,,,,
2021-11-09,Praha-Ruzyně,2021-11-03 20:00:00,8.0,-2.0,6.0,weathercom,,,,,,,,,,,,
2021-11-07,Kuchařovice,2021-11-03 20:00:00,10.0,4.0,4.0,weathercom,,,,,,,,,,,,
2021-11-09,Polom,2021-11-03 20:00:00,6.0,-2.0,6.0,weathercom,,,,,,,,,,,,
2021-11-08,Luká,2021-11-03 20:00:00,7.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-06,Přibyslav,2021-11-03 20:00:00,8.0,0.0,3.0,weathercom,,,4.5,8.7,-2.9,2021-11-07 19:00:00,0.0,0.0,0.6999999999999993,2.9,,
2021-11-07,Cheb,2021-11-03 20:00:00,6.0,3.0,4.0,weathercom,,,,,,,,,,,,
2021-11-04,Jičín,2021-11-03 20:00:00,11.0,5.0,1.0,weathercom,,,8.3,10.6,6.2,2021-11-05 19:00:00,6.0,0.0,0.40000000000000036,1.2000000000000002,,
2021-11-08,Kostelní Myslová,2021-11-03 20:00:00,7.0,1.0,5.0,weathercom,,,,,,,,,,,,
2021-11-04,Brno-Tuřany,2021-11-03 20:00:00,11.0,2.0,1.0,weathercom,,,8.6,12.1,1.2,2021-11-05 19:00:00,1.5,0.0,1.0999999999999996,0.8,,
2021-11-06,Holešov,2021-11-03 20:00:00,10.0,1.0,3.0,weathercom,,,4.9,10.5,-0.6,2021-11-07 19:00:00,0.0,0.0,0.5,1.6,,
2021-11-03,Polom,2021-11-03 20:00:00,,7.0,0.0,weathercom,,,5.4,8.6,2.6,2021-11-04 20:00:00,3.1,0.0,,4.4,,
2021-11-11,Kopisty,2021-11-03 20:00:00,7.0,3.0,8.0,weathercom,,,,,,,,,,,,
2021-11-07,Košetice,2021-11-03 20:00:00,8.0,3.0,4.0,weathercom,,,,,,,,,,,,
2021-11-09,Kopisty,2021-11-03 20:00:00,8.0,1.0,6.0,weathercom,,,,,,,,,,,,
2021-11-05,Brno-Tuřany,2021-11-03 20:00:00,10.0,2.0,2.0,weathercom,,,6.2,17.6,-0.9,2021-11-06 19:00:00,0.0,0.0,7.600000000000001,2.9,,
2021-11-03,České Budějovice,2021-11-03 20:00:00,,6.0,0.0,weathercom,,,5.9,9.3,0.8,2021-11-04 20:00:00,2.6,0.0,,5.2,,
2021-11-04,Praha-Karlov,2021-11-03 20:00:00,9.0,5.0,1.0,weathercom,,,,,,2021-11-05 19:00:00,,,,,,
2021-11-03,Přibyslav,2021-11-03 20:00:00,,7.0,0.0,weathercom,,,6.0,9.1,0.8,2021-11-04 20:00:00,1.4,0.0,,6.2,,
2021-11-06,Ostrava-Mošnov,2021-11-03 20:00:00,11.0,3.0,3.0,weathercom,,,4.7,10.1,1.1,2021-11-07 19:00:00,0.0,0.0,0.9000000000000004,1.9,,
2021-11-04,Holešov,2021-11-03 20:00:00,13.0,2.0,1.0,weathercom,,,7.8,15.1,2.0,2021-11-05 19:00:00,0.2,0.0,2.0999999999999996,0.0,,
2021-11-10,Luká,2021-11-03 20:00:00,6.0,-1.0,7.0,weathercom,,,,,,,,,,,,
2021-11-06,Doksany,2021-11-03 20:00:00,11.0,4.0,3.0,weathercom,,,5.9,11.8,-0.3,2021-11-07 19:00:00,0.0,0.0,0.8000000000000007,4.3,,
2021-11-03,Praha-Libuš,2021-11-03 20:00:00,,6.0,0.0,weathercom,,,6.9,10.6,2.9,2021-11-04 20:00:00,2.0,0.0,,3.1,,
2021-11-06,Karlovy Vary,2021-11-03 20:00:00,7.0,2.0,3.0,weathercom,,,2.7,6.5,-0.8,2021-11-07 19:00:00,0.0,0.0,0.5,2.8,,
2021-11-09,Luká,2021-11-03 20:00:00,6.0,-2.0,6.0,weathercom,,,,,,,,,,,,
2021-11-07,Maruška,2021-11-03 20:00:00,8.0,3.0,4.0,weathercom,,,,,,,,,,,,
2021-11-07,Ostrava-Mošnov,2021-11-03 20:00:00,10.0,4.0,4.0,weathercom,,,,,,,,,,,,
2021-11-10,Polom,2021-11-03 20:00:00,7.0,-1.0,7.0,weathercom,,,,,,,,,,,,
2021-11-11,Milešovka,2021-11-03 20:00:00,4.0,0.0,8.0,weathercom,,,,,,,,,,,,
2021-11-05,Pardubice,2021-11-03 20:00:00,10.0,3.0,2.0,weathercom,,,5.2,10.5,2.5,2021-11-06 19:00:00,0.1,0.0,0.5,0.5,,
2021-11-04,Praha-Libuš,2021-11-03 20:00:00,8.0,5.0,1.0,weathercom,,,8.1,9.3,6.3,2021-11-05 19:00:00,5.2,0.0,1.3000000000000007,1.2999999999999998,,
2021-11-03,Karlovy Vary,2021-11-03 20:00:00,,4.0,0.0,weathercom,,,4.5,8.8,1.7,2021-11-04 20:00:00,5.7,0.0,,2.3,,
2021-11-09,Brno-Tuřany,2021-11-03 20:00:00,8.0,-1.0,6.0,weathercom,,,,,,,,,,,,
2021-11-06,Praha-Karlov,2021-11-03 20:00:00,10.0,3.0,3.0,weathercom,,,,,,2021-11-07 19:00:00,,,,,,
2021-11-03,Cheb,2021-11-03 20:00:00,,4.0,0.0,weathercom,,,6.2,10.7,3.3,2021-11-04 20:00:00,8.2,0.0,,0.7000000000000002,,
2021-11-08,Praha-Libuš,2021-11-03 20:00:00,9.0,2.0,5.0,weathercom,,,,,,,,,,,,
2021-11-04,Lysá hora,2021-11-03 20:00:00,7.0,-3.0,1.0,weathercom,,,2.3,7.1,-1.8,2021-11-05 19:00:00,2.1,0.0,0.09999999999999964,1.2,,
2021-11-11,Lysá hora,2021-11-03 20:00:00,1.0,-3.0,8.0,weathercom,,,,,,,,,,,,
2021-11-11,Prostějov,2021-11-03 20:00:00,9.0,3.0,8.0,weathercom,,,,,,,,,,,,
